unique_id,database,protein_path,ligand_path,pK,protein_exists,ligand_exists,fep_lig_match,ts-max_tanimoto_fep_benchmark
CHEMBL4361_5vkc_CHEMBL4461729,bindingnet,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/5vkc/rec_h_opt.pdb,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/5vkc/target_CHEMBL4361/CHEMBL4461729/5vkc_CHEMBL4361_CHEMBL4461729.sdf,8.010225812647953,True,True,mcl1_extra_flips_molecule_58.sdf,0.34285714285714286
CHEMBL4361_5vkc_CHEMBL4440934,bindingnet,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/5vkc/rec_h_opt.pdb,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/5vkc/target_CHEMBL4361/CHEMBL4440934/5vkc_CHEMBL4361_CHEMBL4440934.sdf,7.642667503568731,True,True,mcl1_extra_flips_molecule_58.sdf,0.34285714285714286
CHEMBL4361_5vkc_CHEMBL4447562,bindingnet,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/5vkc/rec_h_opt.pdb,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/5vkc/target_CHEMBL4361/CHEMBL4447562/5vkc_CHEMBL4361_CHEMBL4447562.sdf,7.508796535568102,True,True,mcl1_extra_flips_molecule_58.sdf,0.3310344827586207
CHEMBL4361_5vkc_CHEMBL4456562,bindingnet,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/5vkc/rec_h_opt.pdb,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/5vkc/target_CHEMBL4361/CHEMBL4456562/5vkc_CHEMBL4361_CHEMBL4456562.sdf,7.778603387030115,True,True,mcl1_extra_flips_molecule_58.sdf,0.3356643356643357
CHEMBL4361_5vkc_CHEMBL4473093,bindingnet,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/5vkc/rec_h_opt.pdb,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/5vkc/target_CHEMBL4361/CHEMBL4473093/5vkc_CHEMBL4361_CHEMBL4473093.sdf,7.44219474416285,True,True,mcl1_extra_flips_molecule_56.sdf,0.3356643356643357
CHEMBL4361_5vkc_CHEMBL4515994,bindingnet,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/5vkc/rec_h_opt.pdb,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/5vkc/target_CHEMBL4361/CHEMBL4515994/5vkc_CHEMBL4361_CHEMBL4515994.sdf,7.925852951282627,True,True,mcl1_extra_flips_molecule_58.sdf,0.3310344827586207
CHEMBL4361_5vkc_CHEMBL4521315,bindingnet,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/5vkc/rec_h_opt.pdb,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/5vkc/target_CHEMBL4361/CHEMBL4521315/5vkc_CHEMBL4361_CHEMBL4521315.sdf,7.819041690665678,True,True,mcl1_extra_flips_molecule_56.sdf,0.3356643356643357
CHEMBL4361_6fs0_CHEMBL4297482,bindingnet,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/6fs0/rec_h_opt.pdb,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/6fs0/target_CHEMBL4361/CHEMBL4297482/6fs0_CHEMBL4361_CHEMBL4297482.sdf,9.734260541478871,True,True,mcl1_extra_flips_molecule_56.sdf,0.1686746987951807
6fs0,pdbbind,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/pdbbind/refined-set/6fs0/6fs0_protein.pdb,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/pdbbind/refined-set/6fs0/6fs0_ligand.mol2,9.77,True,True,mcl1_extra_flips_molecule_64.sdf,0.14942528735632185
CHEMBL4361_6fs0_CHEMBL4448046,bindingnet,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/6fs0/rec_h_opt.pdb,/rds/general/user/cr725/home/aev-plig_research/github_tsBAP_official/data/raw/bindingnet/from_chembl_client/6fs0/target_CHEMBL4361/CHEMBL4448046/6fs0_CHEMBL4361_CHEMBL4448046.sdf,9.69897000433602,True,True,mcl1_extra_flips_molecule_57.sdf,0.16666666666666666
